shift_id,site,role,day,start_time,end_time,min_staff,max_staff
SH-A-001,Alpha,cleaning,monday,06:00,14:00,2,4
SH-A-002,Alpha,cleaning,monday,14:00,22:00,2,3
SH-A-003,Alpha,cleaning,tuesday,06:00,14:00,2,4
SH-A-004,Alpha,cleaning,tuesday,14:00,22:00,2,3
SH-A-005,Alpha,cleaning,wednesday,06:00,14:00,2,4
SH-A-006,Alpha,cleaning,wednesday,14:00,22:00,2,3
SH-A-007,Alpha,cleaning,thursday,06:00,14:00,2,4
SH-A-008,Alpha,cleaning,thursday,14:00,22:00,2,3
SH-A-009,Alpha,cleaning,friday,06:00,14:00,2,4
SH-A-010,Alpha,cleaning,friday,14:00,22:00,2,3
SH-A-011,Alpha,cleaning,saturday,08:00,16:00,1,2
SH-A-012,Alpha,cleaning,sunday,08:00,16:00,1,2
SH-A-013,Alpha,security,monday,07:00,15:00,1,2
SH-A-014,Alpha,security,monday,15:00,23:00,1,2
SH-A-015,Alpha,security,tuesday,07:00,15:00,1,2
SH-A-016,Alpha,security,tuesday,15:00,23:00,1,2
SH-A-017,Alpha,security,wednesday,07:00,15:00,1,2
SH-A-018,Alpha,security,wednesday,15:00,23:00,1,2
SH-A-019,Alpha,security,thursday,07:00,15:00,1,2
SH-A-020,Alpha,security,thursday,15:00,23:00,1,2
SH-A-021,Alpha,security,friday,07:00,15:00,1,2
SH-A-022,Alpha,security,friday,15:00,23:00,1,2
SH-A-023,Alpha,security,saturday,08:00,20:00,1,2
SH-A-024,Alpha,security,sunday,08:00,20:00,1,2
SH-A-025,Alpha,maintenance,monday,08:00,16:00,1,2
SH-A-026,Alpha,maintenance,wednesday,08:00,16:00,1,2
SH-A-027,Alpha,maintenance,friday,08:00,16:00,1,2
SH-B-001,Beta,cleaning,monday,06:00,14:00,2,4
SH-B-002,Beta,cleaning,monday,14:00,22:00,2,3
SH-B-003,Beta,cleaning,tuesday,06:00,14:00,2,4
SH-B-004,Beta,cleaning,tuesday,14:00,22:00,2,3
SH-B-005,Beta,cleaning,wednesday,06:00,14:00,2,4
SH-B-006,Beta,cleaning,wednesday,14:00,22:00,2,3
SH-B-007,Beta,cleaning,thursday,06:00,14:00,2,4
SH-B-008,Beta,cleaning,thursday,14:00,22:00,2,3
SH-B-009,Beta,cleaning,friday,06:00,14:00,2,4
SH-B-010,Beta,cleaning,friday,14:00,22:00,2,3
SH-B-011,Beta,cleaning,saturday,08:00,16:00,1,3
SH-B-012,Beta,cleaning,sunday,08:00,16:00,1,3
SH-B-013,Beta,security,monday,07:00,15:00,1,2
SH-B-014,Beta,security,monday,15:00,23:00,1,2
SH-B-015,Beta,security,tuesday,07:00,15:00,1,2
SH-B-016,Beta,security,tuesday,15:00,23:00,1,2
SH-B-017,Beta,security,wednesday,07:00,15:00,1,2
SH-B-018,Beta,security,wednesday,15:00,23:00,1,2
SH-B-019,Beta,security,thursday,07:00,15:00,1,2
SH-B-020,Beta,security,thursday,15:00,23:00,1,2
SH-B-021,Beta,security,friday,07:00,15:00,1,2
SH-B-022,Beta,security,friday,15:00,23:00,1,2
SH-B-023,Beta,security,saturday,08:00,20:00,1,2
SH-B-024,Beta,security,sunday,08:00,20:00,1,2
SH-B-025,Beta,maintenance,tuesday,08:00,16:00,1,2
SH-B-026,Beta,maintenance,thursday,08:00,16:00,1,2
SH-B-027,Beta,maintenance,saturday,09:00,15:00,1,2
SH-G-001,Gamma,cleaning,monday,06:00,14:00,2,4
SH-G-002,Gamma,cleaning,monday,14:00,22:00,2,3
SH-G-003,Gamma,cleaning,tuesday,06:00,14:00,2,4
SH-G-004,Gamma,cleaning,tuesday,14:00,22:00,2,3
SH-G-005,Gamma,cleaning,wednesday,06:00,14:00,2,4
SH-G-006,Gamma,cleaning,wednesday,14:00,22:00,2,3
SH-G-007,Gamma,cleaning,thursday,06:00,14:00,2,4
SH-G-008,Gamma,cleaning,thursday,14:00,22:00,2,3
SH-G-009,Gamma,cleaning,friday,06:00,14:00,2,4
SH-G-010,Gamma,cleaning,friday,14:00,22:00,2,3
SH-G-011,Gamma,cleaning,saturday,08:00,16:00,1,3
SH-G-012,Gamma,cleaning,sunday,08:00,16:00,1,2
SH-G-013,Gamma,security,monday,07:00,15:00,1,2
SH-G-014,Gamma,security,monday,15:00,23:00,1,2
SH-G-015,Gamma,security,tuesday,07:00,15:00,1,2
SH-G-016,Gamma,security,tuesday,15:00,23:00,1,2
SH-G-017,Gamma,security,wednesday,07:00,15:00,1,2
SH-G-018,Gamma,security,wednesday,15:00,23:00,1,2
SH-G-019,Gamma,security,thursday,07:00,15:00,1,2
SH-G-020,Gamma,security,thursday,15:00,23:00,1,2
SH-G-021,Gamma,security,friday,07:00,15:00,1,2
SH-G-022,Gamma,security,friday,15:00,23:00,1,2
SH-G-023,Gamma,security,saturday,08:00,20:00,1,2
SH-G-024,Gamma,security,sunday,08:00,20:00,1,2
SH-G-025,Gamma,maintenance,monday,08:00,16:00,1,2
SH-G-026,Gamma,maintenance,wednesday,08:00,16:00,1,2
SH-G-027,Gamma,maintenance,friday,08:00,16:00,1,2
