task_id,shift_id,task_name,floor,required_role,required_skill,required_headcount
TK-A-001-1,SH-A-001,Lobby cleaning,Floor 1,cleaning,,1
TK-A-001-2,SH-A-001,Restroom sanitation,Floor 2,cleaning,waste,1
TK-A-002-1,SH-A-002,Restroom sanitation,Floor 2,cleaning,waste,1
TK-A-002-2,SH-A-002,Window cleaning,Floor 3,cleaning,windows,1
TK-A-003-1,SH-A-003,Window cleaning,Floor 3,cleaning,windows,1
TK-A-003-2,SH-A-003,Waste removal,Floor 1,cleaning,,1
TK-A-004-1,SH-A-004,Waste removal,Floor 1,cleaning,,1
TK-A-004-2,SH-A-004,Lobby cleaning,Floor 2,cleaning,mopping,1
TK-A-005-1,SH-A-005,Lobby cleaning,Floor 2,cleaning,mopping,1
TK-A-005-2,SH-A-005,Restroom sanitation,Floor 3,cleaning,waste,1
TK-A-006-1,SH-A-006,Restroom sanitation,Floor 3,cleaning,waste,1
TK-A-006-2,SH-A-006,Window cleaning,Floor 1,cleaning,,1
TK-A-007-1,SH-A-007,Window cleaning,Floor 1,cleaning,,1
TK-A-007-2,SH-A-007,Waste removal,Floor 2,cleaning,sanitation,1
TK-A-008-1,SH-A-008,Waste removal,Floor 2,cleaning,sanitation,1
TK-A-008-2,SH-A-008,Lobby cleaning,Floor 3,cleaning,mopping,1
TK-A-009-1,SH-A-009,Lobby cleaning,Floor 3,cleaning,mopping,1
TK-A-009-2,SH-A-009,Restroom sanitation,Floor 1,cleaning,,1
TK-A-010-1,SH-A-010,Restroom sanitation,Floor 1,cleaning,,1
TK-A-010-2,SH-A-010,Window cleaning,Floor 2,cleaning,windows,1
TK-A-011-1,SH-A-011,Window cleaning,Floor 2,cleaning,windows,1
TK-A-012-1,SH-A-012,Waste removal,Floor 3,cleaning,sanitation,1
TK-A-013-1,SH-A-013,Perimeter patrol,Floor 1,security,,1
TK-A-014-1,SH-A-014,CCTV monitoring,Floor 2,security,cctv,1
TK-A-015-1,SH-A-015,Access control,Floor 3,security,access-control,1
TK-A-016-1,SH-A-016,Incident response,Floor 1,security,,1
TK-A-017-1,SH-A-017,Perimeter patrol,Floor 2,security,patrol,1
TK-A-018-1,SH-A-018,CCTV monitoring,Floor 3,security,cctv,1
TK-A-019-1,SH-A-019,Access control,Floor 1,security,,1
TK-A-020-1,SH-A-020,Incident response,Floor 2,security,incident,1
TK-A-021-1,SH-A-021,Perimeter patrol,Floor 3,security,patrol,1
TK-A-022-1,SH-A-022,CCTV monitoring,Floor 1,security,,1
TK-A-023-1,SH-A-023,Access control,Floor 2,security,access-control,1
TK-A-024-1,SH-A-024,Incident response,Floor 3,security,incident,1
TK-A-025-1,SH-A-025,HVAC check,Floor 1,maintenance,,1
TK-A-026-1,SH-A-026,Electrical inspection,Floor 2,maintenance,electrical,1
TK-A-027-1,SH-A-027,Plumbing check,Floor 3,maintenance,plumbing,1
TK-B-001-1,SH-B-001,Waste removal,Floor 4,cleaning,,1
TK-B-001-2,SH-B-001,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-B-002-1,SH-B-002,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-B-002-2,SH-B-002,Restroom sanitation,Floor 2,cleaning,waste,1
TK-B-003-1,SH-B-003,Restroom sanitation,Floor 2,cleaning,waste,1
TK-B-003-2,SH-B-003,Window cleaning,Floor 3,cleaning,,1
TK-B-004-1,SH-B-004,Window cleaning,Floor 3,cleaning,,1
TK-B-004-2,SH-B-004,Waste removal,Floor 4,cleaning,sanitation,1
TK-B-005-1,SH-B-005,Waste removal,Floor 4,cleaning,sanitation,1
TK-B-005-2,SH-B-005,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-B-006-1,SH-B-006,Lobby cleaning,Floor 1,cleaning,mopping,1
TK-B-006-2,SH-B-006,Restroom sanitation,Floor 2,cleaning,,1
TK-B-007-1,SH-B-007,Restroom sanitation,Floor 2,cleaning,,1
TK-B-007-2,SH-B-007,Window cleaning,Floor 3,cleaning,windows,1
TK-B-008-1,SH-B-008,Window cleaning,Floor 3,cleaning,windows,1
TK-B-008-2,SH-B-008,Waste removal,Floor 4,cleaning,sanitation,1
TK-B-009-1,SH-B-009,Waste removal,Floor 4,cleaning,sanitation,1
TK-B-009-2,SH-B-009,Lobby cleaning,Floor 1,cleaning,,1
TK-B-010-1,SH-B-010,Lobby cleaning,Floor 1,cleaning,,1
TK-B-010-2,SH-B-010,Restroom sanitation,Floor 2,cleaning,waste,1
TK-B-011-1,SH-B-011,Restroom sanitation,Floor 2,cleaning,waste,1
TK-B-012-1,SH-B-012,Window cleaning,Floor 3,cleaning,windows,1
TK-B-013-1,SH-B-013,Incident response,Floor 4,security,,1
TK-B-014-1,SH-B-014,Perimeter patrol,Floor 1,security,patrol,1
TK-B-015-1,SH-B-015,CCTV monitoring,Floor 2,security,cctv,1
TK-B-016-1,SH-B-016,Access control,Floor 3,security,,1
TK-B-017-1,SH-B-017,Incident response,Floor 4,security,incident,1
TK-B-018-1,SH-B-018,Perimeter patrol,Floor 1,security,patrol,1
TK-B-019-1,SH-B-019,CCTV monitoring,Floor 2,security,,1
TK-B-020-1,SH-B-020,Access control,Floor 3,security,access-control,1
TK-B-021-1,SH-B-021,Incident response,Floor 4,security,incident,1
TK-B-022-1,SH-B-022,Perimeter patrol,Floor 1,security,,1
TK-B-023-1,SH-B-023,CCTV monitoring,Floor 2,security,cctv,1
